"trade_date","split","date_ordinal","date_count","train_fraction","validation_fraction","holdout_fraction","optimizer_usage","calendar_source"
"2024-04-17","train","69","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-18","train","70","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-19","train","71","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-22","train","72","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-23","train","73","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-24","train","74","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-25","train","75","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-26","train","76","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-29","train","77","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-04-30","train","78","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-06","train","79","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-07","train","80","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-08","train","81","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-09","train","82","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-10","train","83","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-13","train","84","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-14","train","85","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-15","train","86","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-16","train","87","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-17","train","88","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-20","train","89","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-21","train","90","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-22","train","91","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-23","train","92","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-24","train","93","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-27","train","94","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-28","train","95","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-29","train","96","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-30","train","97","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-05-31","train","98","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-03","train","99","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-04","train","100","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-05","train","101","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-06","train","102","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-07","train","103","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-11","train","104","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-12","train","105","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-13","train","106","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-14","train","107","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-17","train","108","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-18","train","109","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-19","train","110","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-20","train","111","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-21","train","112","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-24","train","113","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-25","train","114","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-26","train","115","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-27","train","116","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-06-28","train","117","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-01","train","118","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-02","train","119","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-03","train","120","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-04","train","121","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-05","train","122","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-08","train","123","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-09","train","124","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-10","train","125","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-11","train","126","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-12","train","127","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-15","train","128","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-16","train","129","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-17","train","130","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-18","train","131","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-19","train","132","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-22","train","133","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-23","train","134","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-24","train","135","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-25","train","136","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-26","train","137","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-29","train","138","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-30","train","139","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-07-31","train","140","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-01","train","141","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-02","train","142","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-05","train","143","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-06","train","144","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-07","train","145","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-08","train","146","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-09","train","147","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-12","train","148","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-13","train","149","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-14","train","150","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-15","train","151","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-16","train","152","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-19","train","153","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-20","train","154","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-21","train","155","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-22","train","156","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-23","train","157","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-26","train","158","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-27","train","159","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-28","train","160","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-29","train","161","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-08-30","train","162","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-02","train","163","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-03","train","164","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-04","train","165","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-05","train","166","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-06","train","167","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-09","train","168","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-10","train","169","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-11","train","170","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-12","train","171","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-13","train","172","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-18","train","173","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-19","train","174","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-20","train","175","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-23","train","176","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-24","train","177","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-25","train","178","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-26","train","179","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-27","train","180","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-09-30","train","181","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-08","train","182","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-09","train","183","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-10","train","184","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-11","train","185","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-14","train","186","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-15","train","187","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-16","train","188","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-17","train","189","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-18","train","190","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-21","train","191","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-22","train","192","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-23","train","193","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-24","train","194","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-25","train","195","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-28","train","196","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-29","train","197","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-30","train","198","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-10-31","train","199","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-01","train","200","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-04","train","201","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-05","train","202","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-06","train","203","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-07","train","204","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-08","train","205","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-11","train","206","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-12","train","207","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-13","train","208","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-14","train","209","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-15","train","210","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-18","train","211","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-19","train","212","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-20","train","213","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-21","train","214","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-22","train","215","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-25","train","216","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-26","train","217","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-27","train","218","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-28","train","219","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-11-29","train","220","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-02","train","221","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-03","train","222","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-04","train","223","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-05","train","224","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-06","train","225","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-09","train","226","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-10","train","227","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-11","train","228","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-12","train","229","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-13","train","230","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-16","train","231","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-17","train","232","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-18","train","233","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-19","train","234","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-20","train","235","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-23","train","236","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-24","train","237","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-25","train","238","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-26","train","239","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-27","train","240","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-30","train","241","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2024-12-31","train","242","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-02","train","243","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-03","train","244","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-06","train","245","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-07","train","246","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-08","train","247","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-09","train","248","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-10","train","249","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-13","train","250","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-14","train","251","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-15","train","252","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-16","train","253","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-17","train","254","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-20","train","255","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-21","train","256","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
"2025-01-22","train","257","485","0.75","0.15","0.10","allowed","repaired_true1min_2024_2025_full_trade_calendar"
