candidate_id,control_candidate_id,pair_id,exact_identity,route_id,skeleton_id,policy_id,seed,source_family_signature,operator_path_hash,expression_depth,clock_namespace,signal_coverage_status,exact_behavior_identity,behavior_cluster_id,admission_rank,admission_policy,performance_accessed_for_admission
cn.comp.74cc73d3338639719287,cn.comp.74cc73d3338639719287.control,cn.pair.68ca354d77db2bd5024cf4984b869a25,567c22dbdd26e82d6f57177cba7850635587ea5e32b6a1673602b137fca7650a,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_path_acceleration,uct_ucb_structural_search,65537,firstN|raw_1min,063da0b08b76e78ff1ebb6b42c5c23a7f434d8e76ebf8b9bc2386f8f6838af79,4,active_bar,qualified,0c3a93fcbe1fc9e956a7fc01,2353,11,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.982325ed85b09efff295,cn.comp.982325ed85b09efff295.control,cn.pair.6544aea77ddeebed7ed48d91c141cfcd,a37b153f12782c55367c3a6a23b59125d168370d28458b4e88997618d09ee8ee,MARKET_REGIME_CONDITION,cn.comp.v2.market_regime_condition.regime_persistence_gate,evolutionary_mutation,31415,lagged_daily_context|raw_1min,0ed617ddc893e323e82259e82d30c3c78e80f7ac0f08e459ff77f30c40d54bba,4,active_bar,qualified,24830b04412a438574740d1a,213,12,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.25bafb068fa0607386a3,cn.comp.25bafb068fa0607386a3.control,cn.pair.c0ab41c61822ec39a2481f4ae339c528,4177c8ef907b3515c61435c9371f9ad5492ca68d4710638bd069e91d243e0c22,MINUTE_STATIC,cn.comp.v2.minute_static.price_volume_interaction,evolutionary_mutation,65537,raw_1min,378e12ce5680f174133cf570c22028a3dd0fd654734c39a86cc58c10a70ff9d6,3,active_bar,qualified,b64f3329d94c12ca712035fa,833,13,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.b03bc22a0fc2df6ce872,cn.comp.b03bc22a0fc2df6ce872.control,cn.pair.87a442fd80bd5d9a922af491999a2f92,1a8e3a3c26f3a470be0267018bf347e63498a474c2eed766e175c4cc95d9f190,SLOW_TEMPORAL_CHANGE,cn.comp.v2.slow_temporal_change.cross_change_interaction,diversity_preserving_cem,31415,canonical_fundamental_growth|canonical_fundamental_working_capital,8fb84fa0c1be99965db3ec4c4d0ed5f8ad3db8a262de1f81822ce4f327f64e10,4,stock_session,qualified,cc2651a9ea66a083b6d7224f,9938,14,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.51ea6181b202080fde09,cn.comp.51ea6181b202080fde09.control,cn.pair.f23b52d4dd96c733cbfe1e64f079064e,df7d6f9b5b66621ebc59bc3a55f5825bb127918a556410c51bf569024f6939a1,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.repeated_event_suppression,uct_ucb_structural_search,65537,canonical_fundamental_disclosure_timing_staleness,0b58389abb4f5a5f3e08f7cb76affe7d9b706d294de406119cf4b6f026fc5590,3,stock_session,qualified,06241ca50b4c5c61455a574b,7295,15,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.3cd62d2defb7567a6372,cn.comp.3cd62d2defb7567a6372.control,cn.pair.d6a79891a8d2b59ebd9856e46a17fac1,ccfb98c43ebaae8d2397c373b5364d466e7db775242c14277045046948d03696,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.fundamental_residual,uct_ucb_structural_search,1729,canonical_fundamental_leverage|lagged_daily_context,45beb533ffafd7df32f8c36a25b70f4f1004631b5c249f90d1263a62a8ae3a6e,2,stock_session,qualified,3575038c3e6aeba97f3c170c,6657,16,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.0500527600ac9cf79f59,cn.comp.0500527600ac9cf79f59.control,cn.pair.ef9060d8c952810a7be37906fd423709,2c4f080fc6ba15d440407b6df8301f7bd411fc0322a16a0702b6c01474eecd50,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.state_residual,stratified_typed_random,31415,intraday_derived_state|raw_1min,dfa5bae83c3259075e588a2d76e50426670337fd00b6d7beae018c267cb0c7fe,3,active_bar,qualified,3e2b5399cf2ea2aa5ba6e942,136,17,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.4f53e4af7944c97ff059,cn.comp.4f53e4af7944c97ff059.control,cn.pair.1c7c94e295e1295bfdb40ff433575fa2,68995edce66d21c2c9a482cebc10e522618f858abe9c6388f317843601ca9f87,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_path_acceleration,stratified_typed_random,1729,firstN|raw_1min,063da0b08b76e78ff1ebb6b42c5c23a7f434d8e76ebf8b9bc2386f8f6838af79,4,active_bar,qualified,f4a578dae92e79953b985942,1662,18,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.4fdddcce619308ae07b1,cn.comp.4fdddcce619308ae07b1.control,cn.pair.410e9ad3552a150440badd7d52144c39,d938c6361a6747fe61f296d2df3aebf687b6a2e7390d2b26637568bbf384ede2,MARKET_REGIME_CONDITION,cn.comp.v2.market_regime_condition.regime_maturity_payload,diversity_preserving_cem,31415,lagged_daily_context|raw_1min,671b16505a36a348a0c547cdd8e3e0cbbf8c2ca2b072ddfdf4f45e1531a2c02c,4,active_bar,qualified,3915b60fb8246a9af85f3e75,1672,19,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.4fcec6893cc492ed5c11,cn.comp.4fcec6893cc492ed5c11.control,cn.pair.80ca8c41f0d8d7d8c7050a82a18929c9,b5f0c1b386c300e7a5ae1fc0fe9cf17647a29b3fe5d211b5072456ce49904ceb,MINUTE_STATIC,cn.comp.v2.minute_static.normalized_ratio,diversity_preserving_cem,31415,raw_1min,83930ffef23352db664066fa06691faffa08f550e396d3235582e5a6e0850b44,3,active_bar,qualified,11baa0827c1bd9a95723a853,1670,20,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.9d1fc11bcce825446b41,cn.comp.9d1fc11bcce825446b41.control,cn.pair.8698c8ae78b84f3ee06097378f92ce52,bfc1188087e93b6396ff3805fea6040269cb18f26dbd039a97e6fad71c2db80f,SLOW_TEMPORAL_CHANGE,cn.comp.v2.slow_temporal_change.slope,stratified_typed_random,2718,lagged_daily_context,cd3e3cd534525f734311df80a950abf993c2c965c35df89423e13ce7bcfabf8f,2,stock_session,qualified,67604e22fb0de3b27e628b28,9438,21,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.8f43024731c6ff628d71,cn.comp.8f43024731c6ff628d71.control,cn.pair.868a6a3aa7c48d33e106778d515d592e,d8ff5e9d8ee742ee0efc6021f00e118107ff63f57350b13357dd92e8d78bae20,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.repeated_event_suppression,evolutionary_mutation,1729,canonical_fundamental_disclosure_timing_staleness,0b58389abb4f5a5f3e08f7cb76affe7d9b706d294de406119cf4b6f026fc5590,3,stock_session,qualified,aa470d496aee48edfaf4622e,9060,22,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.10f384e53d5c7779732c,cn.comp.10f384e53d5c7779732c.control,cn.pair.6097f2bd5d1c6bef67105853818751ca,c3bb66c25ab04761d2d71c36be710370539868dff7f758496d6e8e11b826e804,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.fundamental_residual,stratified_typed_random,2718,canonical_fundamental_profitability,45beb533ffafd7df32f8c36a25b70f4f1004631b5c249f90d1263a62a8ae3a6e,2,stock_session,qualified,740da91c48c270f4e684893d,5195,23,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.474550971009285e7064,cn.comp.474550971009285e7064.control,cn.pair.3f936b8ddc68bc8e74aa1453e00344a4,d1f5477306ad032751f60710633d43d95bc70b7c56dabd6df97a4c50986adb84,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.conditioned_state_path,evolutionary_mutation,1729,intraday_derived_state|raw_1min,7cfbae99d0ded7d30b8957f1b72617849234d9fcd1689f19e005115a698d0be1,3,active_bar,qualified,7f2b6ff36b2d90598a88bd0a,1512,24,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.39b165522b123d0c3987,cn.comp.39b165522b123d0c3987.control,cn.pair.e7cca18cc46a0228092dfb47f9797d33,0379723ff39ab54410ea7a055671610771e97297a5510f56ade4fde1fbeca123,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_path_acceleration,diversity_preserving_cem,31415,firstN|raw_1min,063da0b08b76e78ff1ebb6b42c5c23a7f434d8e76ebf8b9bc2386f8f6838af79,4,active_bar,qualified,4d7defa64037aac67db53bf9,1237,25,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.2276010cff3ed6c852f9,cn.comp.2276010cff3ed6c852f9.control,cn.pair.676167824cebbd11fb817d9b626d38a6,6bf0bbb194b7362e66406bc9d1b4e432ddff499551b93daa0e66d3e17b235c07,MARKET_REGIME_CONDITION,cn.comp.v2.market_regime_condition.payload_regime_residual,diversity_preserving_cem,2718,lagged_daily_context|raw_1min,009277cab5fa43bb30ea96574bd956d3217ad959890684f24289b0316bec9aa4,4,active_bar,qualified,05341d9c80fed6d9ba74f342,754,26,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.d025b83be1064fd5dc41,cn.comp.d025b83be1064fd5dc41.control,cn.pair.23a3b958de9eafec47180ee2e89d0880,ad939b6a68bf82ff7b62e6908d1389363a7b4f1a37ffd50472d466a9e71f0532,MINUTE_STATIC,cn.comp.v2.minute_static.absolute_state_interaction,uct_ucb_structural_search,1729,raw_1min,86a3a3517b5a4009bf3192dc30abe80bccd75e6d4c6bcf53be90622b1b058ddc,4,active_bar,qualified,9c60a6b89dab5b1ae002a109,13,27,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.123b0e31ea62a732d4fd,cn.comp.123b0e31ea62a732d4fd.control,cn.pair.ef4f4aa13edec2e38d25cb651b0453f7,cfcec86fc8fe0816b4db9fe2c1f6d11386a4e3350691af1e7be7ab0d9b058a9c,SLOW_TEMPORAL_CHANGE,cn.comp.v2.slow_temporal_change.delta,evolutionary_mutation,2718,canonical_fundamental_working_capital,1850e80d30c17581afe9cffc7eb4cc939f1587ce647f362a5620cf8dbbf219ed,2,stock_session,qualified,eae4d526fc3b638623c2557c,5247,28,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.655c157b3143cb36b227,cn.comp.655c157b3143cb36b227.control,cn.pair.165f6a7bf60bc2b90d1837b05a5f049e,7406c079702fc100509f56a1f33a21d519c3d04ed4eb3e237b0acc2d3b862c81,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.event_pulse,evolutionary_mutation,65537,canonical_fundamental_disclosure_timing_staleness,8f49a700eb577904d2e0cef9d70495d3280b791831aa86678020c3522ae5d277,1,stock_session,qualified,9ac79200db25ec99ac450a78,7902,29,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.c25e2e5f42f67db9493e,cn.comp.c25e2e5f42f67db9493e.control,cn.pair.82a76129626471e7681df2e2e75d908f,1ef4f64e849e1bf05818f919d74ad1731f0ec764378198521d67fb2fc3f9afa4,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.fundamental_residual,stratified_typed_random,1729,canonical_fundamental_liquidity_solvency|canonical_fundamental_operating_efficiency,45beb533ffafd7df32f8c36a25b70f4f1004631b5c249f90d1263a62a8ae3a6e,2,stock_session,qualified,c62b7a81159c413add35308e,10402,30,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.d5438ef1e34e58906b8d,cn.comp.d5438ef1e34e58906b8d.control,cn.pair.7c385c290747f00050c9ae748ea6fe3a,18339e31e44c4f96826500f3f0395a668678dcbf30621411194d930af18bbd7c,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.duration_payload,evolutionary_mutation,65537,intraday_derived_state|raw_1min,3c168bc673182775144c4a60efaa4349c38b2cf20b1edf32e0d2afe434e5a019,4,active_bar,qualified,94c5d0c510ce64a85b43b512,2086,31,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.29944895e9b715e2d1f1,cn.comp.29944895e9b715e2d1f1.control,cn.pair.cf81d7e9c9d6af06eeaaac01e2a33567,f47016348cef993c5ec406ead8a03887bb28435a5b94a1311f0e99bfbfc2ca4a,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_path_liquidity,stratified_typed_random,31415,firstN|raw_1min,7eec5aae9e50ebaf57d963d93d9e8cad04132f7b9c57c83b8cde71c349ca3b07,4,active_bar,qualified,5063d5400139175e16cbdfc4,907,32,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.ba72fc55f70b1c56447f,cn.comp.ba72fc55f70b1c56447f.control,cn.pair.bcd304f1ce10a9b951007a5c6f0da7a7,68eb3858ac21b27e818053a426d3c04c4b10144fc7fd4a5b1911dccaf27c3bdb,MARKET_REGIME_CONDITION,cn.comp.v2.market_regime_condition.regime_multiscale_response,uct_ucb_structural_search,65537,lagged_daily_context|raw_1min,f2914a6409f288c29b6ea926f159ce4006b9f6180171401dac93edd9f0f52b72,3,active_bar,qualified,5c0a5cea1c195cbefb6f19d0,1175,33,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.6a6cd482d417e39e6e04,cn.comp.6a6cd482d417e39e6e04.control,cn.pair.c52367c48cd403210d229e06d9f62ca8,f5e8abb72db75abb22f1921f06cf6bbeda6e85a3b8dae835726c115c7b3a368b,MINUTE_STATIC,cn.comp.v2.minute_static.field_spread,uct_ucb_structural_search,2718,raw_1min,2c57a36ed79b9854727624379003b970ea37ec07a89cf0d23d874ab53abd4018,3,active_bar,qualified,d5b23318c0fb2ed7d20f54f8,1828,34,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.be20f37f2ba3ac68e01b,cn.comp.be20f37f2ba3ac68e01b.control,cn.pair.3b470a0af3f30472b8bb83791329ce8f,6ad9964c4c698f1a651c2ad195e9e75fc7154b1efaac19d661c7f6e51b9fd104,SLOW_TEMPORAL_CHANGE,cn.comp.v2.slow_temporal_change.cross_change_interaction,uct_ucb_structural_search,65537,canonical_fundamental_cashflow_quality|canonical_fundamental_growth,8fb84fa0c1be99965db3ec4c4d0ed5f8ad3db8a262de1f81822ce4f327f64e10,4,stock_session,qualified,3f112b3a617df4cc0f258620,10290,35,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.14a0c5a404e94f447996,cn.comp.14a0c5a404e94f447996.control,cn.pair.37a4c1ff0a61900ff4f19228b84ee8f6,5170c2a84b3f44264287cc800007f5fe1df0c09321c5222fcaa7385b5ef67989,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.event_first_hit,diversity_preserving_cem,1729,canonical_fundamental_disclosure_timing_staleness,e5b4aa589558ca08ddf2168548875225cfec5d0311aa54c997402df7e28fae1a,1,stock_session,qualified,51d37635d56824f6e65ae810,5335,36,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.5f8dba0170a1d6ad6eef,cn.comp.5f8dba0170a1d6ad6eef.control,cn.pair.07d296c8ccac9b786536a10ae6c71800,c765d9e42f8c2e112c19593633f9037e123ac63238cce309343bc8eaec1a3cab,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.cross_family_interaction,uct_ucb_structural_search,1729,canonical_fundamental_operating_efficiency,378e12ce5680f174133cf570c22028a3dd0fd654734c39a86cc58c10a70ff9d6,3,stock_session,qualified,51ed767cf47c6a68c377fb12,7711,37,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.d8fecf337ed2f9f3e41e,cn.comp.d8fecf337ed2f9f3e41e.control,cn.pair.d2b0e3251c5581ceb511f0b2728e2bcf,e6b34660af34a3115eaedbd758d8ab6d52c1a65ca5b1994ea4386e71a828c16a,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.transition_payload,evolutionary_mutation,65537,intraday_derived_state|raw_1min,3338a46ebcf6ea24e348a4f4bf3c8ecdef73c90e90e0257e06c5e46b7ef7f44d,4,active_bar,qualified,214135e32d3533e908a9244e,4035,38,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.d63098d7e5b2fa55aab4,cn.comp.d63098d7e5b2fa55aab4.control,cn.pair.7f77eb7523992e8b8309ddc0ef80c7e3,41b1160ce598fe4849b75aa473b30859d057b53ddfc75dcfad818396346dc9d7,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_path_acceleration,uct_ucb_structural_search,65537,firstN|raw_1min,063da0b08b76e78ff1ebb6b42c5c23a7f434d8e76ebf8b9bc2386f8f6838af79,4,active_bar,qualified,6ffc3378e5c1e4b6c45458af,4005,39,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.505f9cfe4001a8fe2592,cn.comp.505f9cfe4001a8fe2592.control,cn.pair.c956d63f949e75dd072126ff7d42aeef,15420ad74e01096c7ea23dbbec1d9094e4dba9aa293e9dbfa1e1232599eb66f1,MARKET_REGIME_CONDITION,cn.comp.v2.market_regime_condition.regime_conditioned_path,stratified_typed_random,1729,lagged_daily_context|raw_1min,d321f3f8416b6f0480bf2c34f4f8b4f94923e4a38b0031a2ed31eb90675a74d4,3,active_bar,qualified,5256b1fc75989eb784c317ed,1687,40,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.5632fda97a5c7dfb0b0d,cn.comp.5632fda97a5c7dfb0b0d.control,cn.pair.e14007ba60ee3a41f1da87be695ab492,1044928979b8d3a04690670a44b23b773909025d515a5ba72926f3a1a6b1bde9,MINUTE_STATIC,cn.comp.v2.minute_static.liquidity_volatility_interaction,uct_ucb_structural_search,31415,raw_1min,0299d5bb20e2956efd762126f5203784185e3f9d8d6655cb3cf54b8c9b0339ff,4,active_bar,qualified,c2e9afda12cb9ce5b214d5d7,1712,41,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.46fc4b0c5ba2e5d29657,cn.comp.46fc4b0c5ba2e5d29657.control,cn.pair.718cfe1cc7f3ba18291d42b2f5b9a7fe,e3d7e65b9f8a2233a23d8885bb3c3c734773f1796cbe5b2673071121b02239ca,SLOW_TEMPORAL_CHANGE,cn.comp.v2.slow_temporal_change.change_level_interaction,stratified_typed_random,2718,canonical_fundamental_growth|canonical_fundamental_profitability,378e12ce5680f174133cf570c22028a3dd0fd654734c39a86cc58c10a70ff9d6,3,stock_session,qualified,5b4fd7b37f01f4609c5c9824,6980,42,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.139919dc6d410acad453,cn.comp.139919dc6d410acad453.control,cn.pair.95791760a6c8e57a7b2f14678dc82ecc,dea6b20e79983e23c2be08423f31383eded8e92ab8c13e784be220b846cbcdd0,DISCLOSURE_EVENT,cn.comp.v2.disclosure_event.event_age,stratified_typed_random,31415,canonical_fundamental_disclosure_timing_staleness,3a860617bfa10342f44ab55c7f6c2a1551ae49d5abf40b0b5322bc70e644692d,3,stock_session,qualified,cffe18de83761276c934e41a,5300,43,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.e30d0f67fa633f0f9874,cn.comp.e30d0f67fa633f0f9874.control,cn.pair.4c3dcc854b0861b21acde33899fe02fa,8833ef475a0058cdf439ecbc203b6d8355074c9ce15ff65ada842d9b01b8a03e,SLOW_CROSS_SECTIONAL_LEVEL,cn.comp.v2.slow_cross_sectional_level.fundamental_ratio,diversity_preserving_cem,1729,canonical_fundamental_liquidity_solvency|canonical_fundamental_shareholder_structure,83930ffef23352db664066fa06691faffa08f550e396d3235582e5a6e0850b44,3,stock_session,qualified,da91b2adf7e57c66006bcc98,11268,44,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.aaedc885c4d7de2f957a,cn.comp.aaedc885c4d7de2f957a.control,cn.pair.4eb50797d0579ebcc6917a9e375d4b7f,8aa6a00b2128168f855e06ca46b3697c49d026c46f4e1a33ff20bdb3922ff887,INTRADAY_STATE_TRANSITION,cn.comp.v2.intraday_state_transition.state_residual,diversity_preserving_cem,2718,intraday_derived_state|raw_1min,dfa5bae83c3259075e588a2d76e50426670337fd00b6d7beae018c267cb0c7fe,3,active_bar,qualified,463f59fb5d7c95983c100ad0,3064,45,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
cn.comp.ac8fdb4804b592184b07,cn.comp.ac8fdb4804b592184b07.control,cn.pair.1e7b4edd6485837a145449e8196994c7,19b33fbc28b8a8a9f1460f1c6bb5930588f1d402184fcbb90c78b0ad7cfe65f1,FIRSTN_PATH,cn.comp.v2.firstn_path.opening_state_residual,evolutionary_mutation,2718,firstN|raw_1min,321e7b8f7977129ed792aa70496701e0717111f5ce11de3232c17c24a14d50c6,3,active_bar,qualified,81003b7df900197c184af350,3338,46,DETERMINISTIC_ROUTE_AND_BEHAVIOR_STRATIFIED,False
