candidate_id,clock_namespace,signal_coverage_status,finite_count_a,finite_count_b,exact_behavior_identity,cluster_a,cluster_b,clock_cluster_id,behavior_cluster_id
cn.comp.0115f9fd58e3dd7d06f4,active_bar,qualified,1744,1742,b50a3bb6a39629052244ad31,34,34,34,34
cn.comp.0118aa95ba019b9d746f,active_bar,qualified,1712,1742,03a0638dd964c63682eb596b,35,35,35,35
cn.comp.011aec9b8f30d07c1f96,active_bar,qualified,1744,1742,2f71bc5a962614fd54cad319,36,36,36,36
cn.comp.011f99b82391db574990,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.012ed330cdad5a26fd8e,active_bar,qualified,1519,1566,b2cf365b566987126d70fbe7,37,37,37,37
cn.comp.01329e5907aabdb7cc6c,active_bar,qualified,1680,1742,6b2a10d7b112b560e20bb7a0,38,38,38,38
cn.comp.01384f7c6f31279ffb8f,active_bar,qualified,1519,1566,3618bee47990e01a079febe6,39,39,39,39
cn.comp.0138e1ddca4664e46a2e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.013b78b9600306249533,active_bar,qualified,1568,1614,7f7254cdaa8ec1904098ba5a,40,40,40,40
cn.comp.013c0a0a592e4409df77,active_bar,qualified,1308,1306,7bf766c3087d32f4983dbdd1,41,41,41,41
cn.comp.013dffde20c90b72c7a9,active_bar,qualified,1680,1742,68ba4ddc17a88c3a6a0bc864,42,42,42,42
cn.comp.01400262a1889d984eb8,active_bar,qualified,1593,1611,6501f46a2e2910a532c4af29,43,43,43,43
cn.comp.014024ea3d27918b140a,active_bar,qualified,1744,1742,5101581f87aa8ff958eb93b3,44,44,44,44
cn.comp.015232d9b19c7081ecb4,active_bar,qualified,1664,1678,271fb57043895f6c7a2c89fa,45,45,45,45
cn.comp.0155a60ca776100da809,active_bar,qualified,1102,1134,f714e6b3c2adcc0bddfd2a49,46,46,46,46
cn.comp.01567ad60cb0c03a2075,active_bar,qualified,1664,1678,3b125395962e89d536907899,47,47,47,47
cn.comp.0157cddcc51c7971e8c0,active_bar,qualified,1568,1614,139c0181a5f02365739e7a31,48,48,48,48
cn.comp.0173c7fb80808e58dd57,active_bar,qualified,1648,1678,983fd9605d0b6d4fdfc9f522,49,49,49,49
cn.comp.01788d6a973e16da6a88,active_bar,qualified,1588,1604,4920a38d5e2f0150fdd913c3,50,50,50,50
cn.comp.0185d2456c5cc15d9585,active_bar,qualified,1744,1742,54b8b7f703f4af389ce74d08,25,25,25,25
cn.comp.018fa4cebc061101f1c8,active_bar,qualified,1744,1742,b0007af424f38ba41df868cb,51,51,51,51
cn.comp.019baef14a578410f6b9,active_bar,qualified,1744,1742,727e4f70eb16ad303c59e3b6,25,25,25,25
cn.comp.019bd821e3fde3925a2d,active_bar,qualified,1568,1614,b2bdc8e7e30398398dd487a0,52,25,52,52
cn.comp.019d14cbfc23c33197a8,active_bar,qualified,1625,1631,33c94e09521e5a98d26e049d,53,52,53,53
cn.comp.01afae7f475206fe9200,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.01ba168f3393959b4e6b,active_bar,qualified,1712,1742,9be92dd2e8ff1ba30d9c56f5,54,53,54,54
cn.comp.01c2ba22b92d980b5740,active_bar,qualified,1568,1614,c883b3dc231c9d3faf588a50,55,54,55,55
cn.comp.01ca39b2614f69a66278,active_bar,qualified,1077,1484,ba1e95c9c4f3fd69f44eb362,56,55,56,56
cn.comp.01d1ddc32b62adb549e9,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.01e617fc9512a2ac87b9,active_bar,qualified,1568,1614,b2cb96717bd941945c46f62b,57,56,57,57
cn.comp.01eaa0f46ff5c9e24273,active_bar,qualified,1672,1671,173d7606e5e752628dba67d8,58,57,58,58
cn.comp.01ee73708199d579a925,active_bar,qualified,1744,1742,cf8f83d2294364840dbc8a90,59,58,59,59
cn.comp.01f7ce8c1e2f9a6a6da9,active_bar,qualified,1459,1534,87cdd9f100609bbc14138f41,60,59,60,60
cn.comp.020b6ff92e7aafca528b,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.0215ef3a86371625f207,active_bar,qualified,1744,1742,14ffccdd98a3968bf3df4554,61,60,61,61
cn.comp.021618dc0d2ddf881e7a,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.02166051383236380f95,active_bar,qualified,1744,1742,9f0e0fc6fa76c0eb24df3365,62,61,62,62
cn.comp.021739a868ea36b4f5c0,active_bar,qualified,1308,1742,3525c0c890e21ba08eaea904,63,62,63,63
cn.comp.02238f833246a6f3b050,active_bar,qualified,1680,1742,68ba4ddc17a88c3a6a0bc864,42,42,42,42
cn.comp.02291a9b663c8561772a,active_bar,qualified,1308,1306,a095e762360b0b864cdae1e3,64,63,64,64
cn.comp.022cf391dedbbf4bd52e,active_bar,qualified,1308,1742,28fbec5e35736f22eb9f1591,65,64,65,65
cn.comp.0231129b67188e1f732a,active_bar,qualified,1744,1742,97294e9be4f2845bc2532495,4,4,4,4
cn.comp.02334c6662e769f0c091,active_bar,qualified,1712,1742,d2697a27d86547063f4c9b41,38,65,66,66
cn.comp.02358f0e4f52c661efea,active_bar,qualified,1308,1306,fdc211836b7b65c6c642d4e6,66,66,67,67
cn.comp.0246351717edc7c6496f,active_bar,qualified,1712,1742,a976ccb68349cc14dd2c77a8,67,67,68,68
cn.comp.02517ba2862f3429f35d,active_bar,qualified,1178,1612,6f0fbf1a50aa199de21a289d,68,68,69,69
cn.comp.0267ba12e74c6b22dc7e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.026f66df716a1dcbf9d8,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.02810de279cb67327c19,active_bar,qualified,1568,1614,eb079ad060aa913aeaed0d1c,69,69,70,70
cn.comp.029482805c680bef16d4,active_bar,qualified,1620,1605,4e449ba62937d4cb39c3a3fd,70,70,71,71
cn.comp.02967ac8e778291de3b8,active_bar,qualified,1744,1742,87a2c864484548fff4993fd2,71,71,72,72
cn.comp.0298ea89407d9105e7f3,active_bar,qualified,1568,1614,83fa81dce154df64a8f85b9a,72,72,73,73
cn.comp.029a85f1de38eb5e6f77,active_bar,qualified,1308,1742,a9ca149a95e779521d4cc675,73,73,74,74
cn.comp.02a857701cf00768133e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.02ad69b5c9e82cab4a88,active_bar,qualified,1744,1742,90c84fc20e58a98df58edf2a,74,74,75,75
cn.comp.02b40c1866942bf572ff,active_bar,qualified,1744,1742,98feb7c3b25daab16aabdbcb,75,75,76,76
cn.comp.02b6b531d8af357626b2,active_bar,qualified,1712,1742,7d6c7d285e52176e98aed030,76,76,77,77
cn.comp.02b7cd7b0669699ffd48,active_bar,coverage_limited,0,943,,0,0,0,0
cn.comp.02c504189ef8868e54cc,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.02c60c40b2067f98e2be,active_bar,qualified,1308,1306,2177d78b37a5f373bf2bc2d0,77,77,78,78
cn.comp.02c97f205aa0a4046968,active_bar,qualified,1744,1742,bea57de856d9cc52650ddb83,78,78,79,79
cn.comp.02ca0e8650ed713c5ee5,active_bar,qualified,1744,1742,cbbdea5607e216da10293f79,79,79,80,80
cn.comp.02cda012b4b5f4738049,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.02f97cdf6f9f422288aa,active_bar,qualified,1744,1742,2d8916591273796be8480e6c,80,80,81,81
cn.comp.02f996bfcc56449da35b,active_bar,qualified,1648,1678,32c86222b6838c797260b2cc,81,81,82,82
cn.comp.0304f07bd2c721404bdf,active_bar,qualified,1308,1306,7d1c67ce28167ee3d1a84e80,82,82,83,83
cn.comp.030dc7b28454b4bfe9ba,active_bar,qualified,1260,1306,768fad3415c20f833814b81f,83,83,84,84
cn.comp.030dd1963a43fa982bf5,active_bar,qualified,1308,1306,1b5d3dc5a20e31916d07cefa,84,84,85,85
cn.comp.030e185c095cf53cfce1,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.031d890a774791a7f465,active_bar,qualified,1568,1614,037327118d5c813d890f3858,85,85,86,86
cn.comp.032e3bc4b7a29a809954,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.03303ddec0eed449d6d6,active_bar,qualified,1744,1742,e576898e03d893c3d9456b1c,86,86,87,87
cn.comp.0339fb9bfd7624f9542e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.033b51906c067f299c15,active_bar,qualified,1568,1614,4af413eb226cbb3710db0247,87,87,88,88
cn.comp.033bc2435299766f17a1,active_bar,qualified,1162,1178,4f55b8033930ef896da79984,88,88,89,89
cn.comp.033c04c69f29110e6c40,active_bar,qualified,1308,1742,12e9a2a6173feecd9f890f8f,89,89,90,90
cn.comp.033c657571ed5dcbc3b1,active_bar,qualified,1712,1742,098ac938a723b304d2a9918e,15,15,15,15
cn.comp.033d0f9f31749a13e660,active_bar,qualified,1568,1614,7568aee4b4f8fce42d249344,90,90,91,91
cn.comp.0348a8a7bc6fc7e5bd42,active_bar,qualified,1672,1671,42b7f7d775c61b609f2874b9,91,91,92,92
cn.comp.034b19b00351cfebe913,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.035318c3aea625330f4f,active_bar,qualified,788,796,4d19ed9b4b2ff02eb1ff7c96,92,92,93,93
cn.comp.035c0da1796e905122ac,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.035e1306d1ca020f3c84,active_bar,qualified,1664,1678,9fba138894a8c3d9cce65179,45,93,94,94
cn.comp.0361d552e6d15343613d,active_bar,qualified,1308,1306,7abed9fe76493004d22516e1,93,94,95,95
cn.comp.0364df064bea207c28d4,active_bar,qualified,1568,1614,955e1ca6ab7973428fac159e,94,95,96,96
cn.comp.036d474e24e9b3d13d4b,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.036e4c852860e65b89f9,active_bar,qualified,1192,1378,e392eae5d46e961541877505,95,96,97,97
cn.comp.0375752028d1dedb61ed,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.0381d7777217e25f1389,active_bar,qualified,1664,1678,874ef5b5b0b88e06c275d377,96,97,98,98
cn.comp.03838ea3d891abc11f53,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.0389028c43419a76af4f,active_bar,qualified,1744,1742,cfa211f81f88cc266d473c79,97,98,99,99
cn.comp.03950bdbe77d381cf1c8,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.039663c039357424ec57,active_bar,qualified,1568,1614,62025dade95cc677eb02d667,98,99,100,100
cn.comp.0398d109462fdacf5c84,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.03996e50a0e16d133926,active_bar,qualified,1712,1742,098ac938a723b304d2a9918e,15,15,15,15
cn.comp.03a4662a9effe61418f4,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.03a7b39012aa4d62f285,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.03b0c12ac9c83270c98a,active_bar,qualified,1609,1671,1cd5e6b8920e7384c2225e5a,99,100,101,101
cn.comp.03b8cec2b6be13b54d04,active_bar,qualified,1680,1742,ffc25e103d1ecb9aab4b96b5,6,6,6,6
cn.comp.03d47913e52635a3c975,active_bar,qualified,1744,1742,64de4fa7045f37f6d236ef5f,100,101,102,102
cn.comp.03e2ee3ea0655974255e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.03e3ba81d08a260fad82,active_bar,qualified,1568,1614,122481ce8fcaf3e0e9fe2d18,101,102,103,103
cn.comp.03e6e636a11b3c1104b5,active_bar,qualified,1664,1678,f97698da260b1ae09eb1a32b,102,103,104,104
cn.comp.03e7b557ff252c02bc15,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.03ff368e1b9816968702,active_bar,qualified,1744,1742,3e34d8581f6e66367eb776fd,103,104,105,105
cn.comp.040060b08fc241be8d87,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.040ac758be5748fa333e,active_bar,qualified,1519,1562,2c299cf51bfaf7122a4f5ccb,104,105,106,106
cn.comp.040b86dc663ab01bcfab,active_bar,qualified,1664,1678,161687b6616f7d1f26242f04,105,106,107,107
cn.comp.040d1c4985a4eb07e841,active_bar,qualified,1744,1742,e7970d1f7c1babbc26453fe7,106,107,108,108
cn.comp.0437c14eed07f9a90614,active_bar,qualified,1308,1742,3eef59f2f8a96a6ea4dabac1,107,108,109,109
cn.comp.044010eeb2058a08f71b,active_bar,qualified,1244,1678,f83a7d6ac52798a6333c0fdb,108,109,110,110
cn.comp.04423a91166ee35c2876,active_bar,qualified,1612,1593,f4a65c6f44cabb62ac6be300,109,110,111,111
cn.comp.04433af56b973694dd66,active_bar,qualified,1744,1742,e53c883b9a6b5dc598c165e6,110,111,112,112
cn.comp.04471a855dc883579d3f,active_bar,qualified,1568,1614,fcf5c8482ff6bc3204c76aae,111,112,113,113
cn.comp.04519940dad5fb5c73ae,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.04532555ab055b7b7659,active_bar,qualified,1744,1742,af1937cc4efb7041af6db16d,112,113,114,114
cn.comp.0455313224345116994d,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.04588e0f0171e498170a,active_bar,qualified,1568,1614,daa74f93c9f2b452015cfddd,113,114,115,115
cn.comp.0458c69cf1434deae869,active_bar,qualified,1308,1306,dd056d2256e61d6f1d13e009,114,115,116,116
cn.comp.045dcac900dcdd7b6621,active_bar,qualified,1712,1742,ab2d9df476f9ea754a767c44,115,116,117,117
cn.comp.04617e1462ffa32332c0,active_bar,qualified,1308,1742,13ec0a5ce877297c736914c0,116,117,118,118
cn.comp.0466ae1a89a1e2c43214,active_bar,qualified,1588,1604,92782bfdfcbcf3a859c731e8,117,118,119,119
cn.comp.0467ce252d763feb1721,active_bar,qualified,1744,1742,d1f4d69a3cea97898adc72bc,118,119,120,120
cn.comp.046f5924da3045e53493,active_bar,qualified,1308,1306,051f70e3177d3a8922f38d22,119,120,121,121
cn.comp.04786b9a991d34f5a180,active_bar,qualified,1744,1742,b4571602176044c301bae0b8,120,121,122,122
cn.comp.048072130290e8845781,active_bar,qualified,1672,1671,ea6b84ca1917de97d43131c4,21,21,21,21
cn.comp.04875d9475a3fe8aaefd,active_bar,qualified,1568,1614,72bdb8f16bd29132e7ad2af6,121,15,123,123
cn.comp.048a3d4002dc8aa1ffa8,active_bar,qualified,1680,1742,9dfaa5ef7f713350e25aa2a7,122,122,124,124
cn.comp.048b60bbdc9b473be5c2,active_bar,qualified,1308,1742,c64f151127a9ed2664e657ed,123,123,125,125
cn.comp.048eb0c90a3602c63598,active_bar,qualified,1194,1181,801c066d603321076acdf3bc,124,124,126,126
cn.comp.048f89530b2e4e74c808,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.04909592eeec519b9cf0,active_bar,qualified,1552,1614,8e8869611e48baca5012188b,125,125,127,127
cn.comp.049209e3cf7f5e81e60f,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.0497eedfe8f55418b274,active_bar,qualified,676,640,44d406025dea2610a17f9127,126,126,128,128
cn.comp.04a3b84812e77dca5caa,active_bar,qualified,1696,1742,cb241f2a571669a99d392877,127,127,129,129
cn.comp.04a8ef267e1b83a9139f,active_bar,qualified,1568,1614,f84a6e93d2cf1eafaa4b6597,128,128,130,130
cn.comp.04c3f3f8fd67fd232a9e,active_bar,qualified,1310,1298,648e0f57b4459861cc3bb693,129,129,131,131
cn.comp.04c6651f9565af9650c9,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.04c74559af7baf575166,active_bar,qualified,1260,1726,6da2bb05d861051f416e60f0,130,130,132,132
cn.comp.04cb254f2c9da3e1302e,active_bar,qualified,1680,1742,253ebcef5e568e75ee440ef1,131,131,133,133
cn.comp.04d2a56f104eef7cd388,active_bar,qualified,1744,1742,7f25d93299e10205ea4b508c,132,132,134,134
cn.comp.04dee9e678f27d149902,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.04f6a347d2a65d19ae10,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.04fd598921e818d16c55,active_bar,qualified,1744,1742,586e6d55c94fcf0760889919,133,133,135,135
cn.comp.0500527600ac9cf79f59,active_bar,qualified,1736,1735,3e2b5399cf2ea2aa5ba6e942,134,134,136,136
cn.comp.0526c0512e2f13ce1507,active_bar,qualified,1712,1742,d50b47aa0f414dc300d99c7b,135,135,137,137
cn.comp.05289cd44af37bbd9409,active_bar,qualified,1744,1742,a386f9ae8597dff5db6a8f23,136,136,138,138
cn.comp.05385e0b19bbc75214fe,active_bar,qualified,1712,1742,9dfad9a2739255e5c09a4cd0,137,137,139,139
cn.comp.0538a3cd660cae890113,active_bar,qualified,1744,1742,97294e9be4f2845bc2532495,4,4,4,4
cn.comp.053a4b2ca5d552e935b4,active_bar,qualified,1712,1742,59ab2179f1c144a3683e3965,138,138,140,140
cn.comp.054144c12b0cd8316c04,active_bar,qualified,1308,1742,4e3cc2d712e75b998a69e42f,139,139,141,141
cn.comp.0543f8dbd395bcd00547,active_bar,qualified,1712,1742,4989f102977fbcdd6248c4b3,140,140,142,142
cn.comp.055122e821727d4fe149,active_bar,qualified,1308,1306,60bc97dceb5b67295465c23c,141,141,143,143
cn.comp.055be163759ca44aecb4,active_bar,qualified,1712,1742,26f76ddf19a6c40823988b2c,142,142,144,144
cn.comp.056beedc5137f3fe8a6a,active_bar,qualified,1276,1306,f42cff0387071ec0948f9c8f,143,143,145,145
cn.comp.05735aa239cd33926d90,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.0573709b62ebaaf0b38b,active_bar,qualified,1744,1742,0af02d0e349ea5f2ab427617,144,144,146,146
cn.comp.057ce3fdcfebee44691e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.057d60df82fb4955b219,active_bar,qualified,1744,1742,59c5e79179d6668736cc8b87,9,9,9,9
cn.comp.0588e6a2f348740023dc,active_bar,qualified,1310,1298,dcb9b8b738ef8904ed5e8575,145,145,147,147
cn.comp.058d0812c46be81f9dc6,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.059d43ad35ea041d79a4,active_bar,qualified,1744,1742,80f2aff9a7ab8dee6e594f45,21,21,21,21
cn.comp.05a5123a91c80f86505d,active_bar,qualified,1102,1134,19fe4c73d106bfe82031fa36,146,146,148,148
cn.comp.05b326ab281dce1cba66,active_bar,qualified,1308,1306,67c465b9c8efad26528ab85a,147,147,149,149
cn.comp.05cf57298350fd63bae6,active_bar,qualified,1712,1742,b24215f023895a37961e4ee0,148,148,150,150
cn.comp.05d00c00d246c6f12554,active_bar,qualified,1164,1614,6ff94f265911652b0c83d9f8,149,149,151,151
cn.comp.05d3e4b68d28fd7497d5,active_bar,qualified,1744,1742,cf67be54e716f0a40d1d6ee7,150,150,152,152
cn.comp.05dd017d943cd8c1549e,active_bar,qualified,1680,1742,5bb5268b3078e57edde7260b,151,151,153,153
cn.comp.05ddf1537779602a2f7f,active_bar,qualified,1712,1742,90b209c5a30f253e95b4df23,152,152,154,154
cn.comp.05e8c2e09041223626eb,active_bar,qualified,1260,1258,26642e74f85dd8ec0e893650,10,153,155,155
cn.comp.05ef98d41b80f82c1ae4,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.05f21ec1a346c4c08bb9,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.05f2c9ece5bfe0f1e129,active_bar,qualified,1712,1742,098ac938a723b304d2a9918e,15,15,15,15
cn.comp.05f5bdc2a20ec4fb4356,active_bar,qualified,1043,1084,ee36039aa8cdb8a57726d327,153,154,156,156
cn.comp.05f9c62b6d412566d744,active_bar,qualified,1308,1306,a525e0b723be94d8677b3c88,154,155,157,157
cn.comp.05fc388617ea36d13387,active_bar,qualified,1712,1742,b3253aa39120196cc91cc2a4,38,38,38,38
cn.comp.060574f58ead2529619a,active_bar,qualified,1664,1678,c6354d62b78642a7e349553e,155,156,158,158
cn.comp.060ac7d0de51806288f9,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.060bdeadd9972353e79b,active_bar,qualified,1664,1678,1487b105bdf32826809c48d7,156,157,159,159
cn.comp.060c6bcceb63c8866bbb,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.06113ccae4baaf226601,active_bar,qualified,1180,1614,f78444cbd7cb3d0571b3225d,157,158,160,160
cn.comp.06135c2c437d06d90bd5,active_bar,qualified,1260,1742,019f1aa38888fc10fb7d1702,158,159,161,161
cn.comp.06157d66a9f9e46073e5,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
cn.comp.0628235488b4b0c66676,active_bar,qualified,791,796,7aa6354923349c7ebb6b80b7,159,160,162,162
cn.comp.063460286ec5d04ba1ea,active_bar,qualified,1648,1678,fa3c3fde994c25110ab99522,160,161,163,163
cn.comp.0641fdfb3a1e7ebf1f3e,active_bar,qualified,1260,1742,bc16acd5920d785a6461d27c,161,162,164,164
cn.comp.06462a5c8c6436228ad0,active_bar,qualified,1712,1742,2c95e4613d5d60f938a46571,54,163,165,165
cn.comp.06476965dad1f2cdf523,active_bar,qualified,1260,1726,df882c6078bdafcd6f34026e,162,164,166,166
cn.comp.0647b70a271b86a11d77,active_bar,qualified,1244,1258,803455202907888ddd597486,163,165,167,167
cn.comp.0653005b3958e51d7a4f,active_bar,qualified,1744,1742,f9e17b30cdc8d608f76b1ea4,164,166,168,168
cn.comp.065913c9f54675da7f66,active_bar,qualified,1712,1742,a92e4cf3c8e86ed64ac4b821,21,21,21,21
cn.comp.066ca3c5b1b8dd0a000c,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.067a748a78bf5cfdbac8,active_bar,qualified,1744,1742,b6486dc6d76e85af6b30d75d,165,167,169,169
cn.comp.068baed8b0ea6d8a330d,active_bar,qualified,1680,1742,872ac68e850945ee80b0caf0,15,15,15,15
cn.comp.069027c6109a2595e4fd,active_bar,qualified,1308,1742,692f3882379733bdbc55100a,166,168,170,170
cn.comp.06913900765d6cb0b26e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.06985fd3077353ae13d1,active_bar,qualified,1744,1742,4574d8b5fc22399d6afe8eba,167,169,171,171
cn.comp.06a614869f25bb4d224e,active_bar,coverage_limited,0,0,,0,0,0,0
cn.comp.06ac42b9e41e13e046cf,active_bar,qualified,1244,1678,a8a70d97e5af828bdb4d814e,168,170,172,172
cn.comp.06ba3d79f178c265137d,active_bar,qualified,1244,1678,f1cc6559907ae8bc9945a833,169,171,173,173
cn.comp.06bc37e8d62a2bb263fe,active_bar,qualified,1744,1742,c82a385f671b05764d816282,15,15,15,15
