primitive,primitive_status,field_category,decision,reason
Sign,existing,continuous_minute,ALLOW_WITH_EXISTING_GUARDS,ordinary 1min continuous field
Sign,existing,firstn_minute_derived,ALLOW_WITH_CUTOFF_CONTRACT,field is valid only after its first-N minute cutoff
Sign,existing,sparse_event,REQUIRES_TYPED_ROUTE,event semantics must be preserved
Sign,existing,discrete_state,REQUIRES_TYPED_ROUTE,state semantics must be preserved
Sign,existing,coverage_sensitive,BOUNDED_FACTOR_PACK_FIRST,coverage and PIT availability must be audited
Sign,existing,membership_or_group_key,BLOCK_AS_FORMULA_INPUT,may be context key only; not direct numeric input
Sign,existing,timestamp_or_key,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
Sign,existing,text_or_label,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
Mul/Add/Sub,existing,continuous_minute,ALLOW_WITH_EXISTING_GUARDS,ordinary 1min continuous field
Mul/Add/Sub,existing,firstn_minute_derived,ALLOW_WITH_CUTOFF_CONTRACT,field is valid only after its first-N minute cutoff
Mul/Add/Sub,existing,sparse_event,REQUIRES_TYPED_ROUTE,event semantics must be preserved
Mul/Add/Sub,existing,discrete_state,REQUIRES_TYPED_ROUTE,state semantics must be preserved
Mul/Add/Sub,existing,coverage_sensitive,BOUNDED_FACTOR_PACK_FIRST,coverage and PIT availability must be audited
Mul/Add/Sub,existing,membership_or_group_key,BLOCK_AS_FORMULA_INPUT,may be context key only; not direct numeric input
Mul/Add/Sub,existing,timestamp_or_key,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
Mul/Add/Sub,existing,text_or_label,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
EventAge/SinceLastEvent/EventCount,proposed_typed,continuous_minute,ALLOW_WITH_EXISTING_GUARDS,ordinary 1min continuous field
EventAge/SinceLastEvent/EventCount,proposed_typed,firstn_minute_derived,ALLOW_WITH_CUTOFF_CONTRACT,field is valid only after its first-N minute cutoff
EventAge/SinceLastEvent/EventCount,proposed_typed,sparse_event,PREFERRED_TYPED_ROUTE,event primitive matches sparse-event semantics
EventAge/SinceLastEvent/EventCount,proposed_typed,discrete_state,REQUIRES_TYPED_ROUTE,state semantics must be preserved
EventAge/SinceLastEvent/EventCount,proposed_typed,coverage_sensitive,BOUNDED_FACTOR_PACK_FIRST,coverage and PIT availability must be audited
EventAge/SinceLastEvent/EventCount,proposed_typed,membership_or_group_key,BLOCK_AS_FORMULA_INPUT,may be context key only; not direct numeric input
EventAge/SinceLastEvent/EventCount,proposed_typed,timestamp_or_key,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
EventAge/SinceLastEvent/EventCount,proposed_typed,text_or_label,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,continuous_minute,ALLOW_WITH_EXISTING_GUARDS,ordinary 1min continuous field
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,firstn_minute_derived,ALLOW_WITH_CUTOFF_CONTRACT,field is valid only after its first-N minute cutoff
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,sparse_event,REQUIRES_TYPED_ROUTE,event semantics must be preserved
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,discrete_state,PREFERRED_TYPED_ROUTE,state primitive matches discrete-state semantics
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,coverage_sensitive,BOUNDED_FACTOR_PACK_FIRST,coverage and PIT availability must be audited
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,membership_or_group_key,BLOCK_AS_FORMULA_INPUT,may be context key only; not direct numeric input
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,timestamp_or_key,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
StateAge/StateDwell/StateTransition/WindowStateCount,proposed_typed,text_or_label,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,continuous_minute,ALLOW_WITH_EXISTING_GUARDS,ordinary 1min continuous field
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,firstn_minute_derived,ALLOW_WITH_CUTOFF_CONTRACT,field is valid only after its first-N minute cutoff
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,sparse_event,BLOCK_OR_TYPED_REWRITE,ordinary continuous primitive mismatches sparse-event semantics
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,discrete_state,BLOCK_OR_TYPED_REWRITE,ordinary primitive treats state as continuous
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,coverage_sensitive,PREFERRED_TYPED_ROUTE,coverage is an explicit guard
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,membership_or_group_key,REQUIRES_SEPARATE_GROUP_AUDIT,membership geometry must be PIT/churn audited first
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,timestamp_or_key,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
ValidRatioGate/MaskedCorr/MaskedZScore/SafeCSResidual,proposed_typed,text_or_label,BLOCK,key/text/label/cutoff fields are not numeric alpha inputs
